,Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Pick
306,Langston Galloway,12.3,0.584,0.611,0.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,2.4,0.7,3.1,0.087,0.001,-0.9,-0.8,0.5,SG,28,DET,66,6.0,25.8,3.6,8.2,0.435,2.0,5.0,0.399,1.6,3.2,0.493,0.557,1.1,1.3,0.859,2.3,1.5,0.7,0.2,0.6,1.5,10.3,7333333,61
307,Larry Nance,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,0.128,1.4,0.4,1.7,1.4,C,27,CLE,56,10.0,26.3,4.1,7.7,0.531,1.0,2.8,0.352,3.1,4.9,0.636,0.596,0.9,1.3,0.676,7.3,2.2,1.0,0.4,1.1,1.6,10.1,12727273,20
308,Larry Nance,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,0.128,1.4,0.4,1.7,1.4,C,27,CLE,56,10.0,26.3,4.1,7.7,0.531,1.0,2.8,0.352,3.1,4.9,0.636,0.596,0.9,1.3,0.676,7.3,2.2,1.0,0.4,1.1,1.6,10.1,12727273,27
309,Lauri Markkanen,14.3,0.56,0.536,0.259,4.2,19.7,11.6,7.6,1.4,1.5,11.0,21.1,1.0,1.6,2.6,0.084,0.2,-0.8,-0.6,0.5,PF,22,CHI,50,50.0,29.8,5.0,11.8,0.425,2.2,6.3,0.344,2.8,5.5,0.518,0.517,2.5,3.1,0.824,6.3,1.5,0.8,0.5,1.6,1.9,14.7,5300400,7
310,LeBron James,25.5,0.577,0.326,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,PG,35,LAL,67,67.0,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,7.8,10.2,1.2,0.5,3.9,1.8,25.3,37436858,1
311,Lonnie Walker,10.5,0.507,0.283,0.171,2.5,12.7,7.6,9.6,1.5,1.2,10.3,18.7,-0.2,0.6,0.3,0.016,-2.5,-1.0,-3.5,-0.4,SG,21,SAS,61,12.0,16.2,2.5,5.9,0.426,0.7,1.7,0.406,1.8,4.2,0.434,0.483,0.7,1.0,0.721,2.3,1.1,0.5,0.2,0.7,1.3,6.4,2764200,18
312,Lonzo Ball,13.1,0.517,0.575,0.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,0.4,2.0,2.4,0.058,0.1,0.6,0.6,1.3,PG,22,NOP,63,54.0,32.1,4.4,10.9,0.403,2.3,6.3,0.375,2.0,4.6,0.442,0.511,0.7,1.2,0.566,6.1,7.0,1.4,0.6,3.1,2.0,11.8,8719320,2
313,Louis King,6.2,0.448,0.524,0.143,1.8,16.7,9.2,11.8,1.6,0.001,8.2,17.1,-0.1,0.001,0.001,-0.007,-5.1,-1.1,-6.2,-0.1,SF,20,DET,10,0.001,6.2,0.8,2.1,0.381,0.4,1.1,0.364,0.4,1.0,0.4,0.476,0.001,0.3,0.001,1.0,0.5,0.2,0.001,0.2,1.0,2.0,79568,61
314,Luguentz Dort,7.6,0.506,0.463,0.243,3.3,7.5,5.5,4.6,1.8,0.4,8.4,14.1,0.1,0.8,0.8,0.049,-4.1,0.4,-3.7,-0.4,SG,20,OKC,36,28.0,22.8,2.4,6.1,0.394,0.8,2.8,0.297,1.6,3.3,0.479,0.463,1.2,1.5,0.792,2.3,0.8,0.9,0.1,0.6,2.7,6.8,155647,61
315,Luka Doncic,27.6,0.585,0.431,0.448,4.1,25.0,14.7,45.7,1.5,0.6,14.8,36.8,6.5,2.3,8.8,0.207,7.4,1.0,8.4,5.4,PG,20,DAL,61,61.0,33.6,9.5,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,0.531,7.0,9.2,0.758,9.4,8.8,1.0,0.2,4.3,2.5,28.8,7683360,3
316,Luka Samanic,8.8,0.45,0.5,0.25,2.2,20.2,11.2,16.3,0.001,3.7,10.1,17.8,0.001,0.001,0.001,0.011,-2.4,-1.7,-4.1,0.001,PF,20,SAS,3,1.0,16.0,1.7,5.3,0.313,1.0,2.7,0.375,0.7,2.7,0.25,0.406,1.0,1.3,0.75,3.3,2.0,0.001,0.7,0.7,2.0,5.3,2689920,19
317,Luke Kennard,14.4,0.589,0.535,0.219,1.1,11.1,6.0,19.2,0.6,0.5,10.3,19.8,1.6,0.3,1.9,0.1,1.1,-1.4,-0.3,0.4,SG,23,DET,28,25.0,32.9,5.4,12.2,0.442,2.6,6.5,0.399,2.8,5.7,0.491,0.548,2.4,2.7,0.893,3.5,4.1,0.4,0.2,1.5,2.3,15.8,3827160,12
318,Luke Kornet,12.7,0.539,0.578,0.15,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,0.5,0.6,1.1,0.091,-0.9,-0.2,-1.2,0.1,C,24,CHI,36,14.0,15.5,2.3,5.2,0.439,0.9,3.0,0.287,1.4,2.2,0.646,0.521,0.6,0.8,0.714,2.3,0.9,0.3,0.7,0.4,1.5,6.0,2250000,61
319,Malcolm Brogdon,17.7,0.541,0.309,0.25,3.1,14.1,8.6,33.8,1.0,0.5,13.7,25.2,2.3,1.7,4.0,0.114,2.3,-0.5,1.8,1.6,PG,27,IND,54,54.0,30.9,6.0,13.8,0.438,1.4,4.3,0.326,4.6,9.5,0.488,0.489,3.1,3.4,0.892,4.9,7.1,0.6,0.2,2.4,1.8,16.5,20000000,36
320,Malcolm Miller,6.7,0.538,0.759,0.276,1.3,8.9,5.2,8.9,1.5,1.2,11.0,9.6,0.1,0.2,0.3,0.082,-3.5,1.2,-2.3,0.001,SF,26,TOR,28,1.0,5.8,0.4,1.0,0.414,0.3,0.8,0.364,0.1,0.3,0.571,0.552,0.1,0.3,0.375,0.6,0.4,0.2,0.1,0.1,0.6,1.3,1588231,61
321,Malik Beasley,16.2,0.591,0.494,0.12,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,0.5,0.2,0.8,0.079,1.7,-2.4,-0.7,0.2,SG,23,MIN,14,14.0,33.1,7.9,16.6,0.472,3.5,8.2,0.426,4.4,8.4,0.517,0.577,1.5,2.0,0.75,5.1,1.9,0.6,0.1,1.5,1.9,20.7,2731713,19
322,Malik Monk,12.6,0.53,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0.6,0.7,0.028,-1.1,-1.3,-2.3,-0.1,SG,21,CHO,55,1.0,21.3,3.9,8.9,0.434,1.1,3.7,0.284,2.8,5.2,0.542,0.494,1.5,1.8,0.82,2.9,2.1,0.5,0.3,1.4,1.3,10.3,4028400,11
323,Malik Newman,-11.4,0.347,0.5,1.0,0.001,0.001,0.001,0.001,0.001,0.001,25.8,41.5,0.001,0.001,0.001,-0.502,-14.5,-11.2,-25.7,0.001,SG,22,CLE,1,0.001,4.0,0.001,2.0,0.001,0.001,1.0,0.001,0.001,1.0,0.001,0.001,2.0,2.0,1.0,0.001,0.001,0.001,0.001,1.0,0.001,2.0,65978,61
324,Marc Gasol,11.8,0.551,0.53,0.176,2.9,21.7,12.5,17.3,1.4,3.2,16.4,13.2,0.8,2.2,3.0,0.124,-1.2,2.8,1.6,1.1,C,35,TOR,44,43.0,26.4,2.7,6.3,0.427,1.3,3.4,0.385,1.4,3.0,0.473,0.529,0.8,1.1,0.735,6.3,3.3,0.8,0.9,1.3,2.8,7.5,25595700,48
325,Marco Belinelli,10.8,0.532,0.567,0.185,0.9,11.2,6.0,10.7,0.6,0.1,5.3,17.5,0.7,0.2,0.8,0.046,-0.7,-2.0,-2.7,-0.2,SG,33,SAS,57,0.001,15.5,2.2,5.5,0.392,1.2,3.1,0.376,1.0,2.4,0.412,0.498,0.8,1.0,0.828,1.7,1.2,0.2,0.001,0.3,0.8,6.3,5846154,18
326,Marcus Morris,8.9,0.523,0.483,0.126,2.1,12.3,7.4,6.8,1.1,2.1,11.6,15.8,0.001,0.7,0.6,0.055,-2.5,0.3,-2.2,0.001,PF,30,LAC,19,19.0,28.9,3.9,9.2,0.425,1.4,4.4,0.31,2.5,4.7,0.533,0.5,0.9,1.2,0.818,4.1,1.4,0.7,0.7,1.3,2.7,10.1,15000000,14
327,Marcus Smart,13.8,0.518,0.579,0.223,2.4,10.1,6.3,21.1,2.5,1.4,12.1,18.9,1.7,2.8,4.5,0.112,0.001,1.4,1.4,1.6,SG,25,BOS,60,40.0,32.0,4.3,11.4,0.375,2.3,6.6,0.347,2.0,4.8,0.415,0.476,2.1,2.5,0.836,3.8,4.9,1.7,0.5,1.7,2.7,12.9,12553571,6
328,Marial Shayok,1.4,0.4,0.5,0.333,3.9,23.7,13.8,4.8,0.001,3.0,17.9,25.8,-0.1,0.001,-0.1,-0.13,-9.3,-3.7,-13.0,-0.1,SG,24,PHI,4,0.001,7.0,0.8,3.0,0.25,0.5,1.5,0.333,0.3,1.5,0.167,0.333,0.8,1.0,0.75,1.8,0.3,0.001,0.3,0.8,1.0,2.8,79568,54
329,Mario Hezonja,9.5,0.525,0.358,0.271,3.6,18.3,11.0,7.5,2.0,0.9,14.7,13.9,0.1,0.6,0.8,0.043,-3.1,0.2,-2.9,-0.2,PF,24,POR,53,4.0,16.4,1.7,4.1,0.422,0.5,1.5,0.308,1.3,2.6,0.486,0.477,0.9,1.1,0.814,3.5,0.9,0.7,0.2,0.8,2.0,4.8,1737145,5
330,Markelle Fultz,14.3,0.517,0.175,0.206,2.1,11.0,6.4,29.0,2.2,0.5,14.9,21.4,0.6,2.0,2.7,0.065,-1.8,0.001,-1.8,0.1,PG,21,ORL,72,60.0,27.7,5.0,10.7,0.465,0.5,1.9,0.267,4.5,8.8,0.507,0.488,1.6,2.2,0.73,3.3,5.1,1.3,0.2,2.0,2.0,12.1,9745200,1
331,Markieff Morris,12.7,0.573,0.486,0.203,2.7,17.3,9.9,11.0,1.3,0.9,14.2,21.8,0.3,0.7,1.0,0.049,-1.1,-1.0,-2.1,0.001,PF,30,DET,44,16.0,22.5,4.0,8.8,0.45,1.7,4.3,0.397,2.3,4.5,0.5,0.546,1.4,1.8,0.772,3.9,1.6,0.6,0.3,1.6,2.4,11.0,2259887,13
332,Marko Guduric,8.8,0.514,0.529,0.166,3.1,12.6,7.9,12.3,1.2,1.4,17.6,17.6,-0.3,0.4,0.1,0.014,-2.7,-0.7,-3.4,-0.2,SG,24,MEM,44,0.001,11.0,1.4,3.6,0.395,0.6,1.9,0.301,0.8,1.7,0.5,0.475,0.5,0.6,0.923,1.7,1.0,0.3,0.2,0.8,0.8,3.9,2625000,61
333,Marvin Bagley,15.6,0.512,0.132,0.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,0.001,0.3,0.4,0.051,-2.2,-1.3,-3.5,-0.1,PF,20,SAC,13,6.0,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,0.479,1.9,2.4,0.806,7.5,0.8,0.5,0.9,1.4,3.3,14.2,8556120,2
334,Marvin Williams,9.8,0.566,0.684,0.123,4.9,17.1,11.4,7.2,1.4,2.2,11.8,8.7,0.3,0.6,0.9,0.139,-1.6,2.5,0.9,0.2,PF,33,MIL,17,0.001,18.9,1.5,3.4,0.439,0.7,2.3,0.308,0.8,1.1,0.722,0.544,0.4,0.4,0.857,4.4,1.1,0.6,0.5,0.5,1.9,4.0,604278,2
335,Mason Plumlee,18.8,0.613,0.017,0.538,10.4,23.2,16.8,20.9,1.5,3.3,18.7,18.0,2.0,1.4,3.4,0.153,0.3,1.7,2.0,1.1,C,29,DEN,61,1.0,17.3,2.9,4.7,0.615,0.001,0.1,0.001,2.9,4.6,0.625,0.615,1.4,2.5,0.535,5.2,2.5,0.5,0.6,1.3,2.3,7.2,14041096,22
336,Matisse Thybulle,10.0,0.539,0.592,0.155,3.8,5.4,4.6,8.0,3.5,3.1,15.3,11.2,0.3,2.0,2.3,0.086,-2.8,3.1,0.3,0.8,SG,22,PHI,65,14.0,19.8,1.7,4.1,0.423,0.9,2.4,0.357,0.9,1.7,0.519,0.528,0.4,0.6,0.61,1.6,1.2,1.4,0.7,0.8,2.2,4.7,2582160,20
337,Matt Mooney,8.1,0.25,0.5,0.001,0.001,17.7,8.8,6.7,5.1,4.5,0.001,9.0,0.001,0.001,0.001,0.007,-5.4,5.0,-0.4,0.001,SG,22,CLE,4,0.001,4.8,0.3,1.0,0.25,0.001,0.5,0.001,0.3,0.5,0.5,0.25,0.001,0.001,0.7735000000000001,0.8,0.3,0.5,0.3,0.001,0.3,0.5,79568,61
338,Matt Thomas,13.3,0.65,0.66,0.08,2.2,12.2,7.3,7.5,1.1,0.2,9.3,16.6,0.7,0.6,1.2,0.133,1.0,0.1,1.1,0.3,SG,25,TOR,41,1.0,10.7,1.8,3.7,0.487,1.1,2.4,0.475,0.6,1.2,0.51,0.643,0.2,0.3,0.75,1.5,0.5,0.2,0.001,0.4,0.9,4.9,898310,61
339,Matthew Dellavedova,8.1,0.463,0.52,0.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,0.1,0.1,0.2,0.011,-3.6,-1.6,-5.2,-0.7,PG,29,CLE,57,4.0,14.4,1.1,3.1,0.354,0.4,1.6,0.231,0.7,1.5,0.488,0.414,0.6,0.6,0.865,1.3,3.2,0.4,0.001,1.0,1.4,3.1,9607500,61
340,Max Strus,30.7,0.727,0.333,0.333,17.5,0.001,9.2,0.001,0.001,0.001,0.001,24.4,0.001,0.001,0.001,0.316,5.3,-1.0,4.4,0.001,SG,23,CHI,2,0.001,3.0,1.0,1.5,0.667,0.001,0.5,0.001,1.0,1.0,1.0,0.667,0.5,0.5,1.0,0.5,0.001,0.001,0.001,0.001,0.5,2.5,79568,61
341,Maxi Kleber,13.6,0.605,0.621,0.181,6.3,15.1,10.8,6.3,0.6,3.8,9.5,13.9,3.2,1.7,4.8,0.123,0.4,0.001,0.4,1.1,C,28,DAL,74,21.0,25.5,3.2,6.9,0.461,1.6,4.3,0.373,1.6,2.6,0.605,0.577,1.1,1.3,0.849,5.2,1.2,0.3,1.1,0.8,2.4,9.1,8000000,61
342,Melvin Frazier,9.8,0.559,0.471,0.118,1.7,7.1,4.3,3.4,3.5,1.4,12.3,14.0,0.001,0.2,0.2,0.057,-3.5,1.2,-2.3,0.001,SG,23,ORL,19,0.001,6.6,0.8,1.8,0.441,0.4,0.8,0.5,0.4,0.9,0.389,0.559,0.1,0.2,0.5,0.5,0.2,0.5,0.1,0.3,0.6,2.1,1416852,35
343,Meyers Leonard,10.6,0.627,0.547,0.12,3.4,24.0,14.1,7.6,0.7,1.4,13.7,12.2,0.9,1.2,2.1,0.096,-1.3,0.4,-0.9,0.3,C,27,MIA,51,49.0,20.3,2.3,4.6,0.509,1.0,2.5,0.414,1.3,2.1,0.623,0.622,0.4,0.5,0.643,5.1,1.1,0.3,0.3,0.8,2.1,6.1,11286515,11
344,Mfiondu Kabengele,18.2,0.614,0.625,0.156,1.7,15.8,8.9,4.9,1.5,2.8,5.5,23.7,0.1,0.1,0.2,0.173,2.3,-0.1,2.2,0.1,C,22,LAC,12,0.001,5.3,1.2,2.7,0.438,0.8,1.7,0.45,0.4,1.0,0.417,0.578,0.4,0.4,1.0,0.9,0.2,0.2,0.2,0.2,0.8,3.5,1977000,27
345,Michael CarterWilliams,15.3,0.535,0.288,0.365,5.8,13.5,9.5,19.1,2.9,2.4,14.7,18.3,0.7,1.2,1.9,0.111,-1.5,1.6,0.1,0.5,SG,28,ORL,45,0.001,18.5,2.5,5.8,0.427,0.5,1.7,0.293,2.0,4.1,0.481,0.469,1.8,2.1,0.832,3.3,2.4,1.1,0.5,1.2,1.9,7.2,2028594,11
346,Michael Frazier,-0.9,0.384,0.793,0.483,0.7,6.6,3.6,1.7,0.6,0.001,12.5,11.5,-0.2,0.1,-0.2,-0.06,-8.9,-2.1,-11.0,-0.3,SG,25,HOU,13,0.001,11.2,0.5,2.2,0.241,0.3,1.8,0.174,0.2,0.5,0.5,0.31,0.7,1.1,0.643,0.8,0.2,0.2,0.001,0.4,1.7,2.1,79568,61
347,Michael KiddGilchrist,4.2,0.416,0.303,0.212,5.3,20.4,12.8,7.1,0.3,1.9,18.1,13.7,-0.4,0.2,-0.2,-0.03,-6.3,-1.1,-7.4,-0.4,SF-PF,26,TOT,25,0.001,11.2,0.9,2.6,0.333,0.2,0.8,0.25,0.7,1.8,0.37,0.371,0.4,0.6,0.786,2.7,0.6,0.1,0.2,0.6,1.5,2.4,595122,2
348,Michael Porter,19.8,0.617,0.384,0.188,8.2,23.9,16.1,7.9,1.5,2.6,10.6,22.3,1.8,1.1,2.9,0.154,2.4,-0.8,1.5,0.8,PF,21,DEN,55,8.0,16.4,3.5,7.0,0.509,1.1,2.7,0.422,2.4,4.3,0.564,0.59,1.1,1.3,0.833,4.7,0.8,0.5,0.5,0.9,1.8,9.3,3389400,14
349,Mikal Bridges,12.9,0.62,0.401,0.252,3.5,12.4,7.9,8.6,2.4,2.0,12.0,12.7,2.5,2.3,4.8,0.113,-0.6,1.5,0.8,1.5,SF,23,PHO,73,32.0,28.0,3.4,6.6,0.51,1.0,2.7,0.361,2.4,4.0,0.61,0.583,1.4,1.7,0.844,4.0,1.8,1.4,0.6,1.0,2.2,9.1,4161000,10
350,Mike Conley,14.1,0.537,0.451,0.245,2.8,9.2,6.1,23.1,1.3,0.3,12.8,23.1,1.4,1.1,2.5,0.089,0.7,-0.4,0.3,0.8,PG,32,UTA,47,41.0,29.0,4.9,12.1,0.409,2.0,5.4,0.375,2.9,6.6,0.437,0.494,2.4,3.0,0.827,3.2,4.4,0.8,0.1,2.0,2.2,14.4,32511623,4
351,Mike Muscala,12.5,0.569,0.757,0.116,3.2,17.3,10.4,10.1,0.8,1.8,7.9,16.6,0.7,0.6,1.3,0.107,0.1,-0.2,-0.1,0.3,C,28,OKC,47,2.0,12.2,1.6,4.0,0.407,1.1,3.0,0.378,0.5,1.0,0.5,0.55,0.4,0.5,0.818,2.3,0.9,0.2,0.3,0.4,1.2,4.8,2028594,44
352,Mike Scott,11.2,0.557,0.62,0.106,5.9,16.8,11.3,6.4,0.8,0.4,6.6,14.0,1.4,1.1,2.5,0.1,-0.7,-1.1,-1.8,0.1,PF,31,PHI,68,11.0,17.8,2.2,5.1,0.426,1.2,3.2,0.369,1.0,2.0,0.519,0.54,0.4,0.5,0.811,3.6,0.8,0.3,0.1,0.4,1.4,6.0,4767000,43
353,Miles Bridges,12.1,0.52,0.398,0.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,0.3,1.3,1.6,0.039,-1.5,-1.0,-2.5,-0.3,SF,21,CHO,65,64.0,30.7,4.9,11.6,0.424,1.5,4.6,0.33,3.4,7.0,0.486,0.489,1.6,2.0,0.809,5.6,1.8,0.6,0.7,1.5,2.0,13.0,3755400,12
354,Mitchell Robinson,23.5,0.726,0.001,0.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,4.8,2.0,6.8,0.23,1.6,1.4,2.9,1.8,C,21,NYK,61,7.0,23.1,4.1,5.6,0.742,0.001,0.001,0.3415,4.1,5.6,0.742,0.742,1.4,2.4,0.568,7.0,0.6,0.9,2.0,0.6,3.2,9.7,1559712,36
355,Miye Oni,9.7,0.512,0.594,0.156,5.2,11.7,8.6,5.1,1.8,1.5,10.5,15.3,0.001,0.1,0.1,0.063,-3.2,-1.0,-4.3,-0.1,SG,22,UTA,10,1.0,10.9,1.2,3.2,0.375,0.7,1.9,0.368,0.5,1.3,0.385,0.484,0.4,0.5,0.8,1.7,0.4,0.4,0.2,0.4,0.9,3.5,898310,58
356,Mo Bamba,17.5,0.542,0.374,0.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,0.8,1.7,2.5,0.135,-1.2,1.6,0.4,0.5,C,21,ORL,62,0.001,14.2,2.1,4.6,0.462,0.6,1.7,0.346,1.5,2.9,0.531,0.526,0.5,0.7,0.674,4.9,0.7,0.4,1.4,0.7,1.9,5.4,5697600,61
357,Monte Morris,14.9,0.545,0.304,0.157,1.6,7.7,4.7,22.1,1.7,1.0,8.1,17.5,2.7,1.1,3.8,0.112,0.4,-0.5,-0.2,0.8,PG,24,DEN,73,12.0,22.4,3.6,7.8,0.459,0.9,2.4,0.378,2.7,5.4,0.495,0.517,1.0,1.2,0.843,1.9,3.5,0.8,0.2,0.7,1.0,9.0,1588231,51
358,Montrezl Harrell,23.2,0.607,0.022,0.432,9.9,16.3,13.2,10.3,1.1,3.6,10.1,25.7,4.4,2.5,7.0,0.191,2.5,0.5,2.9,2.2,C,26,LAC,63,2.0,27.8,7.5,12.9,0.58,0.001,0.3,0.001,7.5,12.6,0.593,0.58,3.7,5.6,0.658,7.1,1.7,0.6,1.1,1.7,2.3,18.6,6000000,32
359,Moritz Wagner,15.1,0.638,0.301,0.357,7.0,22.2,14.3,9.8,1.6,2.0,17.7,18.6,1.1,0.6,1.7,0.099,-2.0,-0.3,-2.3,-0.1,C,22,WAS,45,5.0,18.6,3.2,5.9,0.545,0.6,1.8,0.313,2.7,4.1,0.645,0.592,1.7,2.1,0.821,4.9,1.2,0.6,0.4,1.5,3.4,8.7,2063520,25
360,Moses Brown,6.7,0.407,0.001,0.8,9.6,34.5,22.2,4.0,1.4,2.6,18.2,21.2,-0.1,0.001,0.001,-0.065,-8.2,-1.8,-10.0,-0.1,C,20,POR,9,0.001,3.7,0.4,1.1,0.4,0.001,0.001,0.3415,0.4,1.1,0.4,0.4,0.3,0.9,0.375,1.6,0.1,0.1,0.1,0.3,0.8,1.2,79568,61
361,Mychal Mulder,7.8,0.533,0.776,0.179,1.5,11.0,6.1,5.8,0.5,0.4,6.5,16.2,0.001,0.001,0.1,0.017,-3.3,-2.8,-6.1,-0.2,SG,25,GSW,7,3.0,29.1,3.7,9.6,0.388,2.3,7.4,0.308,1.4,2.1,0.667,0.507,1.3,1.7,0.75,3.3,1.1,0.3,0.1,0.7,2.9,11.0,187782,61
362,Myles Turner,14.8,0.566,0.426,0.288,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,1.1,3.1,4.2,0.111,-1.0,1.1,0.1,1.0,C,23,IND,62,62.0,29.5,4.3,9.5,0.457,1.4,4.0,0.344,2.9,5.4,0.54,0.53,2.0,2.7,0.751,6.6,1.2,0.7,2.1,1.4,2.7,12.1,18000000,11
363,Nassir Little,9.6,0.505,0.391,0.291,5.7,13.9,9.9,5.0,1.1,2.1,8.1,13.7,0.3,0.3,0.6,0.047,-2.9,-0.6,-3.5,-0.2,PF,19,POR,48,5.0,11.9,1.4,3.1,0.43,0.3,1.2,0.237,1.1,1.9,0.554,0.477,0.6,0.9,0.636,2.3,0.5,0.3,0.3,0.3,1.5,3.6,2105520,25
364,Naz Reid,15.3,0.505,0.399,0.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,0.2,0.6,0.8,0.074,-1.6,-0.3,-1.9,0.001,C,20,MIN,30,11.0,16.5,3.3,8.1,0.412,1.1,3.2,0.33,2.3,4.9,0.466,0.477,1.2,1.8,0.698,4.1,1.2,0.6,0.7,0.7,2.8,9.0,898310,61
365,Nemanja Bjelica,15.7,0.602,0.49,0.129,6.1,19.9,12.8,14.7,1.5,1.9,12.5,17.0,3.4,1.9,5.3,0.127,1.2,0.5,1.7,1.9,PF,31,SAC,72,67.0,27.9,4.4,9.1,0.481,1.9,4.4,0.419,2.5,4.6,0.541,0.583,1.0,1.2,0.821,6.4,2.8,0.9,0.6,1.4,3.0,11.5,6825000,35
366,Nerlens Noel,20.4,0.711,0.011,0.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,2.6,2.3,4.9,0.209,-0.3,3.4,3.1,1.5,C,25,OKC,61,7.0,18.5,3.0,4.4,0.684,0.001,0.001,0.333,3.0,4.4,0.688,0.686,1.3,1.7,0.755,4.9,0.9,1.0,1.5,1.1,2.7,7.4,1882867,6
367,Nickeil AlexanderWalker,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,SG,21,NOP,47,1.0,12.6,2.1,5.7,0.368,1.0,2.8,0.346,1.1,2.8,0.391,0.455,0.5,0.8,0.676,1.8,1.9,0.4,0.2,1.1,1.2,5.7,2964840,17
368,Nicolas Batum,9.2,0.463,0.605,0.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,0.2,0.4,0.6,0.055,-2.8,0.9,-1.9,0.001,SF,31,CHO,22,3.0,23.0,1.3,3.7,0.346,0.6,2.2,0.286,0.6,1.5,0.438,0.432,0.4,0.5,0.9,4.5,3.0,0.8,0.4,1.0,1.9,3.6,25565217,25
369,Nicolas Claxton,14.8,0.577,0.146,0.438,10.7,13.6,12.2,12.4,0.3,3.6,13.6,14.8,0.3,0.2,0.5,0.121,-0.7,0.001,-0.6,0.1,PF,20,BRK,15,0.001,12.5,1.8,3.2,0.563,0.1,0.5,0.143,1.7,2.7,0.634,0.573,0.7,1.4,0.524,2.9,1.1,0.1,0.5,0.6,0.9,4.4,898310,31
370,Nicolo Melli,11.4,0.556,0.638,0.226,3.9,14.5,9.2,10.5,1.5,1.8,11.5,15.7,0.9,0.9,1.8,0.082,-1.5,0.2,-1.3,0.2,C,29,NOP,60,8.0,17.4,2.3,5.4,0.421,1.2,3.4,0.335,1.1,2.0,0.573,0.528,0.9,1.2,0.74,3.0,1.4,0.6,0.4,0.8,2.1,6.6,4102564,61
371,Nigel WilliamsGoss,8.1,0.415,0.438,0.125,4.6,8.5,6.6,16.4,2.9,1.7,15.1,17.4,-0.1,0.1,0.001,0.017,-5.2,1.3,-3.9,0.001,PG,25,UTA,10,0.001,5.0,0.5,1.6,0.313,0.2,0.7,0.286,0.3,0.9,0.333,0.375,0.2,0.2,1.0,0.6,0.6,0.3,0.1,0.3,0.6,1.4,1500000,55
372,Nikola Jokic,24.9,0.605,0.238,0.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,C,24,DEN,73,73.0,32.0,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,9.7,7.0,1.2,0.6,3.1,3.0,19.9,27504630,41
373,Nikola Vucevic,21.9,0.549,0.28,0.162,7.3,29.7,18.1,19.5,1.3,2.1,7.4,25.8,3.5,2.9,6.4,0.153,3.7,0.5,4.2,3.1,C,29,ORL,62,62.0,32.2,8.0,16.7,0.477,1.6,4.7,0.339,6.4,12.0,0.531,0.525,2.1,2.7,0.784,10.9,3.6,0.9,0.8,1.4,2.2,19.6,28000000,16
374,Noah Vonleh,15.5,0.622,0.163,0.348,10.1,25.3,17.4,10.7,1.4,1.3,16.5,13.9,0.6,0.4,1.0,0.127,-1.2,0.3,-1.0,0.1,C-PF,24,TOT,36,1.0,10.5,1.4,2.6,0.565,0.1,0.4,0.2,1.4,2.1,0.636,0.582,0.7,0.9,0.781,3.4,0.8,0.3,0.2,0.6,1.1,3.7,2000000,9
